    ,Text,Classificacao
131,@AlbertoLage @rebeldescalca @YouTube quero ver a desculpa quando ele ganhar uma boquinha no governo de Minas                                     ,Negativo     
132,@AnaPaulaVolei e tem mais essa: https://t.co/BnDsO34qK0                                                                                          ,Neutro
133,@Anastasia @revistaencontro Espero que você seja o próximo governador das Minas Geraes!                                                          ,Neutro
134,"@andregallindo @R2renatoribeiro @JornalOGlobo Sou de minas, flamenguista e é triste, muito triste ver o maior palco do futebol neste estado.   ",Neutro
135,"@anterogreco @gianoddi @rafaelribeiro se der, manda um abraço para os palmeirenses aqui de governador Valadares MG, Antero.                    ",Neutro
136,@AREZZO_ estou em outro estado! Comprei durante as férias em MG.                                                                                 ,Neutro
137,@AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocente��                                                                   ,Neutro
138,"@azeredo_mg @STF_oficial @MichelTemer Justamente isso, morreu bandido é indenizado, enquanto isso os inocentes estão sem aparo do governo      ",Neutro
139,"@b3arland eu sou do interior de MG, mas minha cidade faz divisa com o estado de SP. O mais perto que eu conheço aqui é o Breno                 ",Neutro
140,@baekliar o governo de minas dá ate estojo???????socorro                                                                                         ,Neutro
141,"@Bella_DiGenaro y patea con las 2 patas, además el wueon es zurdos, con todas las minas buenas q a estado, se le va el gusto atrás?            ",Neutro
142,@beppo22 Risco de calote de Estados com a União cresce - Politica - Estado de Minas https://t.co/zdjOcATDo3                                      ,Negativo     
143,"@betorosio Bom dia professor!!!!
Estou aqui em governador valadares/MG assistindo o melhor professor  você :)
Abracoooo Taynnara               ",Neutro
144,"@BlogDoPim @carioca556
O Aécio quando governador de Minas fez mais de 1.200 viagens para ir a praia no  Rio de Janeiro , cadê a indignação?    ",Neutro
145,@cartacapital e em minas governador usa helicóptero do governo para buscar filho em festa                                                        ,Negativo     
146,"@cartacapital isso tudo é um absurdo, legal mesmo é isso aqui https://t.co/TnVZQTadaD                                                          ",Neutro
147,"@Castro2Monica então, qual é o governador das Minas Gerais?                                                                                    ",Neutro
148,@charlesbigfoot @DecaRGarcia @Poder_360 Concordo plenamente. Já trabalhei no governo de MG e vi isso de perto.                                   ,Negativo     
149,@ClaroPeru q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas!!                      ,Neutro
150,"@claudfeb @mayrasmendoza @CFKArgentina Andar con minas no, pelotudo, pagarlas con guita del Estado, sí:

https://t.co/qxXLK6POMU               ",Neutro
151,@Codevasf e @governomg discutem retomada do convênio para construção da barragem do Jequitaí. Veja:… https://t.co/ndMvqAk49E                     ,Neutro
152,@ConsuladosGalo Boa tarde. Consulado do Galo de Governador Valadares/MG. Ajude a divulgar. ObriGalo.                                             ,Neutro
153,@cotonewers praticamente hahah uma parte da minha família é de mg. Pra mim é o melhor estado p passear no Brasil �                               ,Neutro
154,@danilo12mf @pires_magela  ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..só tem lixo nessa porra                ,Negativo     
155,"@DCM_online Newton Cardoso Junior é da pior estirpe de politicos mineiros. Um golpista e desonesto, herança do pai, ex-governador de Minas.!   ",Negativo     
156,@deeh_gerhardt https://t.co/TONVnZGvHq                                                                                                           ,Neutro
157,@deivaolm @Ary_AntiPT @c0nvey Antes ou depois de o governo de MG comprar 2 helicópteros?                                                         ,Negativo     
158,"@dibiaseneves vão se apaixonar pelo melhor estado do Brasil e pelo MAIOR de MG, sejam bem vindos a BH. #cruzeirosempre #maiordeminas           ",Neutro
159,"@diegocabral75 @exame aí em MG, ta td bem? Pimentel cada dia fazendo melhor para o estado né? ainda bem q o doria é prefeito de SP e nao BH    ",Positivo
160,@digaoi a internet ta ruim no estado de MG ?                                                                                                     ,Neutro
161,"@diogo_cc estou hahahaha mas trabalho mais pro impresso, Estado de Minas                                                                       ",Neutro
162,@doidao_galo @_FSEP @twitpalmeiras kkkk mineirao e do governo de Minas.  Aí joga no indepencia pq torcida só enche caixa de fósforo              ,Neutro
163,"@DonaMed_VE
Clindomicina
Pastilla
300 mg
Municipio  sucre  petate
Estado miranda caracas                                                       ",Neutro
164,@DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533                                          ,Neutro
165,@droguerianena.Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias               ,Neutro
166,@ElPoliTwico AYUDA HOY ES UNA NIÑA CON MENINGITIS. mañana puede ser cualquiera. Su estado es grave x falta d medicamento Aciclovir 500 mg.       ,Neutro
167,"@em_com MG, o estado da idade do ferro, e sua capital                                                                                          ",Neutro
168,@em_com vão cobrir isto? https://t.co/SNYMRfQ737                                                                                                 ,Neutro
169,"@esd4n ninguno, a decir verdad he estado con minas peores                                                                                      ",Neutro
170,"@eumateus75 @Morro_Cristo @JanainaDoBrasil @ptnacional @ptbrasiI Em MG, a criminalidade aumentou com o PT https://t.co/3E7sdl1UsT              ",Negativo     
171,@evaristocosta já visitou o estado de MG? Se sim o que achou?                                                                                    ,Neutro
172,"@filiperabelo @JocaMani
É apenas uma proposta pelo reserva do Fred (tá caro!)... Não é a compra do Estado de Minas (Tchê Tchê + Moisés)
�      ",Neutro
173,@FlowstreetYT bueno ese mg no ha estado nada mal lool omgggg!!!Gracias Flowiiii                                                                  ,Neutro
174,@folha - E daí? O palhaço de Minas voou trocentas vezes no helicóptero do ESTADO para namorar em Florianópolis e a imprensa não deu um PIO.      ,Negativo     
175,@folha esse lixo petista quebrou o estado de Minas Gerais mais uma vez! seu lugar é um só..                                                      ,Negativo     
176,@ForunsMG vão eleger novos prefeitos e vereadores para o Colegiado Executivo e avançar na participação popular.… https://t.co/hLjmXWoK4i         ,Neutro
177,@FutDados William não tem mais clima para prosseguir no maior time do Estado de Minas Gerais ... fora William...�⚽️                              ,Neutro
178,"@Fute_Minas O complicado é isso! Desse jeito nunca teremos uma terceira, quarta força no estado! Não da pros clubes do interior investir!      ",Neutro
179,"@GaloAustralia incorreto. No socialismo, a elite nunca se fode. O Estado fede.                                                                 ",Neutro
180,"@Galonopeito1 Se Minas tivesse mar, esse Estado ia ser o paraíso hahaha ❤                                                                      ",Neutro
181,@geraldoalckmin_ boa noite governador gostaria de um emprego trabalho na área da indústria meu governador PT Minas Gerais                        ,Neutro
182,@gercinu tu estás em MG? Há uma zona de baixa pressão em cima do estado que impede a formação de nuvens.                                         ,Neutro
183,"@GilzanaCarvalho SP é realmente fascinante,tem vários contrastes,mas Minas é um estado bom tbm...alias o Brasil é um Belo Pais,so q mau adm�   ",Neutro
184,@GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! Até as FACÇÕES do lula BÊBADO                            ,Negativo     
185,"@helhaodoaxe @ninobec @penso_ra @JornalOGlobo Estado de Minas, bunitão, chegados do Aécio. https://t.co/sjkpoMJvqX                             ",Neutro
186,@hidselena minas gerais estado do pão de queij                                                                                                   ,Neutro
187,@HSOGameplays  vc e de qual estado de minas so para saber mesmo se pa e meu vizinho                                                              ,Neutro
188,@i5gornascimento #i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/yM8IsmD4Wn                   ,Neutro
189,@i5gornascimento #i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/5sutw56PxJ                                 ,Neutro
190,@I5gornascimento @I5gornascimento #I5gornascimento Governador Valadares registra dois assassinatos em menos de ... https://t.co/7IiBGRNW9l       ,Neutro
191,@I5gornascimento @I5gornascimento #I5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/4MiJlXKxoW                ,Neutro
192,@Independent  o melhor queijo do mundo é daqui do Brasil mais exatamente do estado de Minas Gerais                                               ,Neutro
193,"@infomoney ""bando do Brasil"" é o partido do governador de MG.                                                                                ",Negativo     
194,@IPAFARMA @Avivasa1965 buenos días. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta                                                    ,Neutro
195,@israel_massa @ferrisss @JornalOGlobo pelo menos 1 coisa p se orgulhar do governo de minas. Esse tem q ser o modelo. Recuperar o cidadão...      ,Positivo
196,"@jairbolsonaro Por favor nos ajude a Pizza Pimentel aqui em MG é o maior cabide de empregos do meu estado, minha mãe coitada nem cheiro 13 s   ",Negativo     
197,"@jcavaa Cuando vi tu nombre como ganador del #EuroLogo me sonaste mucho, tras 3 días, me doy cuenta de que me has estado dando mg en insta�    ",Neutro
198,@jeffs_araujo35 @sjayanthi @Ueiler2 @virginiaduailib Conheço bem as APACs de quando trabalhei no governo de MG...                                ,Neutro
199,@JoanapereiraF Olá! Podemos usar a sua foto no jornal Estado de MInas? Obrigada!                                                                 ,Neutro
200,"@joaoleiteBH isso  joão, contamos com vcs pra derrotar esses bandidos q estão no poder, lugar de bandido é na cadeia, n no governo de MG       ",Negativo     
201,@jonanperrea @holdmenouis_ mejor!! Eswue estado unos días sin conectarme por estudiar y aunque siempre intento darte mg y comentar! Un besoo     ,Neutro
202,"@jornal_cultura @tvcultura
Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e uso do Helicópteros por Pimentel    ",Neutro
203,@jornal_cultura governo federal com cartão de crédito...governo de MG passeando e comprando helicópteros. Até onde?                              ,Negativo     
204,"@jornaldacbn O @LFPezao  quando precisar dar um passeio, ele pode pedir emprestado o helicóptero emprestado do  Governador de MG.              ",Negativo     
205,"@JoseAMeadeK Los abusos, aun en el estado mas sólido, son minas sordas que tarde o temprano estallan.                                          ",Neutro
206,@JustMoveOn10 #TeamBTS confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro:))))       ,Neutro
207,@kalkssabrina @AnaPaulaVolei E o Estado com as finanças no vermelho! E o resto da era PT acabando com MG.                                        ,Negativo     
208,@Kefera teria como doar sangue pra ele morando em outro estado? eu sou de Minas e gostaria de ajudar                                             ,Neutro
209,"@kellybh1 Olá Kelly, somos do estado do Paraná, mas o serviço 181 está em Minas Gerais também! Ligue 181 e denuncie!                           ",Neutro
210,"@lancenet aqui em Minas nenhum dos grandes portais (itatiaia, superesportes, Estado de Minas) noticia isso. Até os setoristas desconhecem      ",Neutro
211,@Laurinahloves5h @WorlDms91 aja si y por eso le diste mg a su estado para que te mande preguntas al chat ��� basta no puedo                      ,Neutro
